"C","T1","T2","R1","R2","Trial"
0,3.709,1.67,0.269614451334592,0.598802395209581,1
0.02,1.705,0.41,0.586510263929619,2.4390243902439,1
0.04,1.149,0.244,0.870322019147084,4.0983606557377,1
0.06,0.8691,0.1656,1.15061557933494,6.03864734299517,1
0.08,0.6977,0.127,1.43328077970474,7.8740157480315,1
0.1,0.5798,0.10175,1.7247326664367,9.82800982800983,1
0.2,0.2981,0.05029,3.35457900033546,19.8846689202625,1
0.3,0.2069,0.03402,4.83325277912035,29.3944738389183,1
0.4,0.15419,0.02515,6.4855048965562,39.7614314115308,1
0.5,0.12915,0.02056,7.74293457220286,48.6381322957198,1
0,3.802,1.91,0.263019463440295,0.523560209424084,2
0.02,1.63,0.393,0.613496932515337,2.54452926208651,2
0.04,1.151,0.2313,0.868809730668983,4.32338953739732,2
0.06,0.838,0.1613,1.19331742243437,6.19962802231866,2
0.08,0.6809,0.1241,1.46864444118079,8.058017727639,2
0.1,0.558,0.09877,1.7921146953405,10.124531740407,2
0.2,0.2909,0.04917,3.43760742523204,20.3376042302217,2
0.3,0.2019,0.03335,4.95294700346706,29.9850074962519,2
0.4,0.15738,0.02518,6.35404752827551,39.714058776807,2
0.5,0.12694,0.02019,7.87773751378604,49.5294700346706,2
0,3.54,1.59,0.282485875706215,0.628930817610063,3
0.02,1.795,0.443,0.557103064066852,2.25733634311512,3
0.04,1.213,0.2629,0.824402308326463,3.80372765310004,3
0.06,0.9234,0.1772,1.08295429932857,5.64334085778781,3
0.08,0.7206,0.1324,1.38773244518457,7.55287009063444,3
0.1,0.5981,0.10707,1.67196121049992,9.33968431867003,3
0.2,0.3363,0.05455,2.97353553374963,18.3318056828598,3
0.3,0.2115,0.03538,4.72813238770686,28.2645562464669,3
0.4,0.16686,0.02708,5.99304806424547,36.9276218611521,3
0.5,0.13521,0.02166,7.39590266992086,46.1680517082179,3
0,3.83,2.3,0.261096605744125,0.434782608695652,4
0.02,1.857,0.462,0.53850296176629,2.16450216450216,4
0.04,1.246,0.2384,0.802568218298555,4.19463087248322,4
0.06,0.871,0.1492,1.14810562571757,6.70241286863271,4
0.08,0.714,0.1313,1.40056022408964,7.61614623000761,4
0.1,0.58,0.1068,1.72413793103448,9.36329588014981,4
0.2,0.3463,0.05803,2.88766965059197,17.2324659658797,4
0.3,0.2192,0.03676,4.56204379562044,27.2034820457019,4
0.4,0.18,0.02907,5.55555555555556,34.3997248022016,4
0.5,0.1401,0.02218,7.13775874375446,45.0856627592426,4
